id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
1,ЗЕМЛЯ (ПОВЕРХНОСТЬ),GROUND,гӏунщи,ʕunšːi,,гӏунщил,"гӏунщибади, гӏунщалди",n,,0,0,0,Твёрдая поверхность земли; отличать от земли как материала и от почвы.,"Животные обитают на земле, рыбы — в воде. - Рухӏчӏаголъирди гӏумругирахе гӏунщила, ччугӏиби- лъинлӏи."
2,ЗЕМЛЯ (ПОЧВА),EARTH,гӀунщи,ʕunšːi,,гӀунщил,-,n,,422,37,21,"Земля как почва (собственно слово ‘почва’ не подходит как профессионально маркированный или «научный» термин). Отличать от поверхности земли (‘ground’), от суши (‘land’) и т. п. Отличать от конкретизированных типов почвы: ‘красная земля’, ‘черная земля’, ‘глинистая земля’ и т. п. Те же контексты, что и в №71 ‘песок’.","1. Он рыл яму и выбрасывал наружу землю. 2. Он взял в горсть земли. 3. Я не знаю, что на том участке: земля или песок. 1.Вудищуд бухъида бук1а габда, къот1и щобда бук1а г1унщи. 2. Вудищуд хъабтенди г1унщи бигьи. 3. Диба биг1идеч1и, чуб эбк1ола вудиб мак1ала: г1унщичи, саличи."
3,ПЫЛЬ,DUST,хӏури,ħuri,,хӏурил,-,n,,425,35,0,"Мелкие частицы твёрдого материала. В CoBL используется базовый концепт «дорожной пыли»; в дагестанском контексте предпочтительнее говорить о пыли в помещениях. Для совместимости включаются оба контекста, однако в случае использования разных слов предпочтение нужно отдавать значению ‘пыль в помещениях’.",1. Стол в дедушкиной комнате покрылся пылью. 2. При ходьбе по сухой земле вверх поднимается пыль. - 1. Имададащуб мисалъиникӏуб устул хӏурил бехӏи. Бекъуб гӏунщила арахъиба белӏала гьалуба хӏури гьерхӏиде.
4,ГРЯЗЬ,MUD,хӏари,ħari,,хӏарил,хӏарибади,n,,426,0,0,"Дорожная грязь, остающаяся на одежде.","Когда я пришёл домой, я счистил грязь с ботинок. - Къелар вохьабкъолӏи, динди гьедахӏхӏинкӏигьи хьитабалагиба (ботинкадалагиба) хӏари."
5,ПЕСОК,SAND,сали,sali,,салил,салибади,n,,423,133,71,"Наиболее общее слово для материала, состоящего из мелких частиц минералов, ракушек, камней и т.д., различимых невооружённым глазом. Избегать терминов для специальных видов или цветов песка. Избегать слов для ‘пыли’, ‘грязи’ и относящиеся к типу почвы, а не к самому материалу. Не использовать слов для ‘пляжа’. (CoBL)","1. Она просыпала песок сквозь руки. (CoBL) 2. Он взял в горсть песка. (GLD) 3. Я не знаю, что на том участке: земля или песок. (GLD) - 1) Вудилъид сали рельибачӏ бакьихъадуба эти. 2. Вудищуд хъатили гӏунщи бигьи. Диба бигӏидечӏи, чуб эбкӏола вудиб макӏала: гӏунщичи, саличи."
6,ГОРА,MOUNTAIN,беса,besa,,бесал,бесабади,n,,405,104,56,"Наиболее общее существительное для существенного повышения ландшафта, как правило, с крутыми склонами. Избегать терминов для отдельных типов гор; меньших возвышений (‘холм’, ‘курган’); частей горы (‘вершина’). (CoBL)Если есть особое наречие ‘в горах’ или специальное выражение для гор «вообще», вводить их как неосновные синонимы.","1. В Дагестане есть равнина и много гор. 2. На эту гору подниматься целый день. (GLD) - Дагъистанлъила авлахъ,байданльири эгу, саругу бесабадил эгу. Гьаб бесалъилар тӏубелуб зобилъид ххардакӏа."
7,ХОЛМ,HILL,гьангъу,hanʁu,,гьангъул,гьангъубади,n,,408,0,0,"Возвышение земли меньшей высоты, чем гора. Поскольку специальное слово для холма присутствует не во всех языках, его заполнение факультативно. Включается в базу для совместимости с КК.","1. Холм ниже горы. 2. На равнине нет гор, но бывают холмы. -1. Гьангъу бесачӏ мукӏуб эгу. 2. Бейданльирила (авлахълъила) бесабади гьачӏи, амма гьангъубади рукӏудакӏа."
8,СОЛНЕЧНЫЙ СКЛОН ГОРЫ,SUNNY SLOPE,милъилъири,miɬiɬiri,,милъилъирил,милъилъирди,n,,406,0,0,"Часть горного склона, не находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на солнечной стороне. -1. Милъигьарх ссолуб гӏесинлъила (милъилъирила)  жуми паркъа бекъудакӏа, гӏанччолакьирхнаслъила (миччилъирила?) - кьанихъ заманалъид.  Гьималал жуми цегицеб милъилъирила щардакӏа. (Репея трава)"
9,ТЕНЕВОЙ СКЛОН ГОРЫ,SHADY SLOPE,миччилъири,mičːiɬiri,,миччилъирил,миччилъирди,n,,407,0,0,"Часть горного склона, находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на теневой стороне. -1. Милъигьарх ссолуб гӏесинлъила (милъилъирила)  жуми паркъа бекъудакӏа, гӏанччолакьирхнаслъила (миччилъирила) - кьанихъ заманалъид."
10,СКАЛА,CLIFF,кьури,ʟʼuri,,кьурил,кьураби,n,,409,0,0,Близкий к вертикальному склон горы.,Корова заблудилась и упала с края скалы. -Зюв микъил къосибах кьурил регӏиллъилагиба тӏалибах муа.
